datetime,id,consumption,generation
2012-07-25 7:00,102,0.231,0.0155
2012-07-25 8:00,102,0.183,0.0625
2012-07-25 9:00,102,0.1095,0.175
2012-07-25 10:00,102,0.0945,0.3815
2012-07-25 11:00,102,0.085,0.4565
2012-07-25 12:00,102,0.123,0.497
2012-07-25 13:00,102,0.1155,0.5
2012-07-25 14:00,102,0.1,0.391
2012-07-25 15:00,102,0.508,0.0375
2012-07-25 16:00,102,0.3015,0.003
2012-07-25 17:00,102,1.001,0.0
2012-07-25 18:00,102,1.092,0.0
2012-07-25 19:00,102,0.8335,0.0
2012-07-25 20:00,102,0.938,0.0
2012-07-25 21:00,102,0.938,0.0
2012-07-25 22:00,102,0.197,0.0
2012-07-25 23:00,102,0.109,0.0
2012-07-26 0:00,102,0.0885,0.0
2012-07-26 1:00,102,0.1025,0.0
2012-07-26 2:00,102,0.0995,0.0
2012-07-26 3:00,102,0.1525,0.0
2012-07-26 4:00,102,0.1235,0.0
2012-07-26 5:00,102,0.1045,0.0
2012-07-26 6:00,102,0.134,0.0
2012-07-26 7:00,102,0.1565,0.003
2012-07-26 8:00,102,0.535,0.044
2012-07-26 9:00,102,0.4995,0.1125
2012-07-26 10:00,102,0.1765,0.2595
2012-07-26 11:00,102,0.101,0.222
2012-07-26 12:00,102,0.1065,0.178
2012-07-26 13:00,102,0.086,0.069
2012-07-26 14:00,102,0.1105,0.119
2012-07-26 15:00,102,0.0835,0.075
2012-07-26 16:00,102,0.118,0.0125
2012-07-26 17:00,102,0.1685,0.0
2012-07-26 18:00,102,1.0485,0.0
2012-07-26 19:00,102,0.836,0.0
2012-07-26 20:00,102,1.206,0.0
2012-07-26 21:00,102,1.2055,0.0
2012-07-26 22:00,102,0.1925,0.0
2012-07-26 23:00,102,0.087,0.0
2012-07-27 0:00,102,0.108,0.0
2012-07-27 1:00,102,0.096,0.0
2012-07-27 2:00,102,0.1,0.0
2012-07-27 3:00,102,0.0885,0.0
2012-07-27 4:00,102,0.113,0.0
2012-07-27 5:00,102,0.1175,0.0
2012-07-27 6:00,102,0.149,0.0
2012-07-27 7:00,102,0.203,0.0095
2012-07-27 8:00,102,0.5645,0.1
2012-07-27 9:00,102,0.539,0.2535
2012-07-27 10:00,102,0.3275,0.388
2012-07-27 11:00,102,0.077,0.4655
2012-07-27 12:00,102,0.113,0.516
2012-07-27 13:00,102,0.08,0.5125
2012-07-27 14:00,102,0.1105,0.328
2012-07-27 15:00,102,0.0775,0.0375
2012-07-27 16:00,102,0.1145,0.0065
