id,month,consumption,generation,price
178,5,119.9465,51.35,93.3
178,6,170.6345,34.669,93.3
178,7,183.7285,44.366,93.3
178,8,167.2735,60.2345,93.3
178,9,116.3075,71.5215,93.3
178,10,101.095,76.0855,93.3
178,11,121.2195,66.222,93.3
178,12,116.726,66.254,93.3
179,1,148.61,61.4425,93.3
179,2,126.985,53.896,93.3
179,3,124.615,57.399,93.3
179,4,139.999,50.7925,93.3
179,5,231.0905,47.597,106.0
179,6,299.827,26.046499999999998,124.8
179,7,305.5835,37.607,126.0
179,8,234.3715,60.58,107.2
179,9,147.326,68.992,93.3
179,10,140.989,71.70400000000001,93.3
179,11,130.45,60.0115,93.3
179,12,157.8805,60.1445,93.3
180,1,109.9295,94.9875,93.3
180,2,108.3895,72.891,93.3
180,3,110.4915,76.205,93.3
180,4,145.654,57.704,93.3
180,5,286.054,47.7745,121.8
180,6,370.566,32.267,136.8
180,7,371.634,41.537,137.0
180,8,348.636,61.956,133.6
180,9,161.5005,81.872,93.3
180,10,145.158,100.244,93.3
180,11,100.87650000000001,94.2835,93.3
180,12,88.002,98.406,93.3
181,1,265.426,81.3545,116.6
181,2,314.1945,66.3865,127.7
181,3,366.0265,70.7005,136.2
181,4,350.6465,61.925,133.9
181,5,351.668,63.156,134.1
181,6,369.4205,42.405,136.7
181,7,374.159,54.7765,137.3
181,8,368.4485,71.5485,136.5
181,9,332.546,84.3285,131.0
181,10,333.127,92.01,131.1
181,11,293.7365,76.644,123.5
181,12,270.438,82.271,117.9
182,1,184.3115,106.594,93.3
182,2,162.4065,88.3385,93.3
182,3,180.565,94.595,93.3
182,4,177.7055,83.067,93.3
182,5,179.7505,86.441,93.3
182,6,179.456,56.103,93.3
182,7,178.2265,72.117,93.3
182,8,204.572,97.915,95.4
182,9,181.754,110.2215,93.3
182,10,160.301,115.8505,93.3
182,11,166.378,98.15,93.3
182,12,179.65200000000002,104.491,93.3
183,1,185.247,85.197,93.3
183,2,173.164,74.711,93.3
183,3,177.682,69.5425,93.3
183,4,189.306,52.8535,93.3
183,5,197.057,45.249,93.3
183,6,190.9565,27.4985,93.3
183,7,204.881,37.4375,95.6
183,8,220.96,57.845,102.3
183,9,196.536,75.8635,93.3
183,10,185.3285,93.574,93.3
183,11,177.785,82.978,93.3
183,12,177.719,82.212,93.3
184,1,126.181,76.0335,93.3
184,2,119.09,63.435,93.3
184,3,116.398,67.642,93.3
184,4,129.487,56.642,93.3
184,5,212.6405,57.2755,98.9
184,6,247.108,39.0425,111.3
184,7,232.8125,50.905,106.6
184,8,212.7085,67.787,99.0
184,9,132.783,77.5455,93.3
184,10,113.3755,82.839,93.3
184,11,103.1735,70.1085,93.3
184,12,111.3545,73.348,93.3
185,1,343.1195,70.674,132.8
185,2,292.114,61.859,123.1
185,3,322.347,65.306,129.2
185,4,320.7525,55.6675,128.9
185,5,248.6045,57.1985,111.8
185,6,167.51250000000002,36.691,93.3
185,7,172.114,49.623,93.3
185,8,676.866,65.533,241.7
185,9,404.169,74.8965,189.8
185,10,349.893,81.5255,133.8
185,11,309.7625,71.11,126.8
185,12,331.6045,70.217,130.8
186,1,105.205,70.0085,93.3
186,2,88.1035,57.5785,93.3
186,3,100.2095,58.379,93.3
186,4,97.9975,43.7305,93.3
186,5,104.2195,43.117,93.3
186,6,117.07300000000001,28.505,93.3
186,7,136.7415,36.3815,93.3
186,8,126.673,50.309,93.3
186,9,104.9595,64.241,93.3
186,10,109.9585,74.7495,93.3
186,11,93.4025,65.11,93.3
186,12,99.174,68.2885,93.3
187,1,108.01,107.9785,93.3
187,2,104.018,91.462,93.3
187,3,100.294,93.895,93.3
187,4,102.334,80.677,93.3
187,5,130.4,81.0535,93.3
187,6,103.8785,54.6345,93.3
187,7,100.93900000000001,67.457,93.3
187,8,95.914,97.0875,93.3
187,9,94.336,109.995,93.3
187,10,98.7895,118.4155,93.3
187,11,90.65,100.5855,93.3
187,12,98.8495,108.6485,93.3
188,1,150.0765,102.374,93.3
188,2,186.55,84.5215,93.3
188,3,186.4135,90.221,93.3
188,4,206.2015,72.4975,96.1
188,5,283.826,80.932,121.2
188,6,435.204,58.182,201.8
188,7,487.198,71.4055,216.0
188,8,446.1545,93.4245,205.3
188,9,205.607,106.658,95.9
188,10,176.945,111.5255,93.3
188,11,164.8785,93.148,93.3
188,12,171.248,97.8285,93.3
189,1,212.6905,142.34,98.9
189,2,196.0375,118.4745,93.3
189,3,196.0095,123.9065,93.3
189,4,197.137,101.1315,93.3
189,5,217.477,103.0175,100.9
189,6,253.973,68.36,113.4
189,7,261.5715,89.125,115.6
189,8,239.9655,119.491,109.1
189,9,227.937,136.5965,104.9
189,10,221.841,150.8415,102.6
189,11,212.519,131.2605,98.9
189,12,204.4835,138.3905,95.4
190,1,291.7455,58.7085,123.0
190,2,235.801,64.2895,107.7
190,3,279.836,74.7415,120.3
190,4,247.156,65.571,111.3
190,5,260.7635,71.907,115.3
190,6,350.0325,49.895,133.8
190,7,337.09,67.7285,131.8
190,8,403.5005,81.775,189.5
190,9,373.637,88.9435,137.3
190,10,351.476,90.1045,134.1
190,11,314.841,81.3565,127.8
190,12,115.254,78.1705,93.3
191,1,444.9355,234.562,204.9
191,2,453.4595,189.2165,207.5
191,3,470.525,186.8595,212.1
191,4,441.5175,148.293,203.8
191,5,449.356,137.2455,206.2
191,6,527.842,96.484,224.0
191,7,544.2355,121.2235,226.7
191,8,439.84,164.938,203.3
191,9,391.699,210.351,139.6
191,10,403.219,252.906,189.4
191,11,420.516,216.0275,196.5
191,12,464.7475,234.5215,210.6
192,1,208.163,69.0865,97.0
192,2,191.7045,53.876,93.3
192,3,194.608,52.319,93.3
192,4,236.679,40.5775,108.0
192,5,434.203,35.3555,201.4
192,6,688.3955,23.3005,242.6
192,7,733.614,28.9795,245.9
192,8,597.1235,42.5405,233.9
192,9,277.4125,55.1035,119.7
192,10,236.663,67.781,108.0
192,11,189.3,61.3565,93.3
192,12,180.432,68.088,93.3
193,1,229.547,231.735,105.5
193,2,210.0495,195.928,97.8
193,3,253.525,209.632,113.3
193,4,259.803,184.9325,115.1
193,5,271.9575,170.1125,118.3
193,6,293.5345,111.3675,123.4
193,7,280.059,144.816,120.3
193,8,293.608,208.443,123.5
193,9,233.6845,249.9905,106.9
193,10,231.0855,272.7145,106.0
193,11,246.4395,220.3375,111.1
193,12,259.7645,229.3465,115.1
194,1,197.2125,106.258,93.3
194,2,180.0085,89.894,93.3
194,3,196.7455,87.381,93.3
194,4,173.5245,78.069,93.3
194,5,307.65,67.2875,126.4
194,6,421.63100000000003,42.624,196.9
194,7,431.0335,51.423,200.4
194,8,388.521,81.099,139.2
194,9,271.3525,60.1835,118.2
194,10,148.4085,112.326,93.3
194,11,131.159,92.1185,93.3
194,12,147.4055,86.494,93.3
195,1,263.0715,68.1235,116.0
195,2,288.575,54.8695,122.3
195,3,334.3775,55.4025,131.3
195,4,272.325,44.029,118.4
195,5,224.0175,41.4475,103.4
195,6,259.4,25.853,115.0
195,7,293.7255,34.5605,123.5
195,8,321.5895,48.9375,129.1
195,9,243.431,60.1715,110.2
